probe_id,country,asn,samples,rtt_min,rtt_median,rtt_p95,jitter_iqr,loss_pct,distance_km,min_rtt_ms,inflation
6692,US,5006,1020,204.0,204.28,204.7,0.23,0.0,11325.0,113.33,1.8
6833,US,62538,1074,210.23,218.73,220.49,0.4,0.0,11692.2,117.0,1.8
6836,US,58057,1072,211.09,218.18,220.01,0.27,0.19,11692.0,117.0,1.8
7452,US,16,1077,209.8,211.83,212.32,0.18,0.0,11653.4,116.61,1.8
7660,NL,215318,1077,63.58,65.92,68.68,0.18,0.0,3534.6,35.37,1.8
7718,DE,215760,1077,58.08,62.42,65.92,0.82,0.0,3218.4,32.21,1.8
6832,US,208590,1072,209.74,217.87,220.42,0.16,0.56,11692.2,117.0,1.79
7106,DO,265695,1072,192.84,198.89,199.42,0.14,0.19,10782.2,107.9,1.79
7759,US,21623,1076,216.76,225.09,225.99,3.28,0.0,12069.9,120.78,1.79
6389,US,36444,1077,174.28,174.55,175.32,0.23,0.0,9761.4,97.68,1.78
6601,DE,58057,1074,57.22,61.39,62.46,0.26,0.0,3208.9,32.11,1.78
6967,DE,14061,1077,57.0,61.22,62.12,0.22,0.0,3208.2,32.1,1.78
6992,US,16552,1077,208.85,213.11,214.8,0.23,0.0,11714.7,117.23,1.78
6931,PE,64116,1079,240.06,240.77,241.72,0.4,0.09,13568.5,135.78,1.77
7087,US,40581,1077,192.7,198.32,198.67,0.14,0.0,10891.0,108.99,1.77
7286,FR,209428,1080,64.39,69.58,70.35,0.12,0.0,3643.7,36.46,1.77
7599,CA,60900,1061,159.47,166.23,183.26,5.13,1.21,8984.9,89.91,1.77
7712,US,11878,1077,177.42,177.71,178.0,0.18,0.0,10032.4,100.39,1.77
7714,US,11878,1079,212.71,221.91,222.23,5.89,0.0,11986.0,119.94,1.77
7728,US,397700,1077,164.14,164.42,199.61,0.18,0.0,9251.9,92.58,1.77
6498,CA,852,1080,158.47,165.04,167.85,0.57,0.0,8984.2,89.9,1.76
6598,US,20473,1074,210.93,216.06,217.68,0.12,0.0,11984.1,119.92,1.76
6909,US,63949,1080,205.48,209.72,210.65,0.22,0.0,11691.9,117.0,1.76
6919,LU,210834,1077,59.62,65.86,66.78,0.24,0.0,3376.2,33.79,1.76
7704,NL,30058,1077,61.92,65.13,65.47,0.09,0.0,3525.8,35.28,1.76
6565,US,63056,1077,178.32,180.71,181.3,0.2,0.0,10163.0,101.7,1.75
7104,PA,272037,1077,215.37,221.77,223.49,0.84,0.0,12270.8,122.79,1.75
7253,US,1280,1077,204.64,210.59,211.14,0.15,0.0,11698.7,117.07,1.75
7707,US,401612,1077,164.99,165.28,165.5,0.13,0.0,9397.5,94.04,1.75
7374,US,33362,1073,170.51,175.93,176.83,0.43,0.09,9807.7,98.15,1.74
7449,US,21699,1077,203.4,211.81,215.51,1.16,0.0,11673.0,116.81,1.74
7496,US,53356,1076,203.32,209.2,210.32,0.67,0.0,11692.0,117.0,1.74
7608,CO,7195,1073,210.98,213.93,239.27,0.14,0.09,12149.0,121.57,1.74
6480,US,13925,1067,202.17,209.01,211.18,0.19,0.09,11692.3,117.0,1.73
6649,US,199610,1077,207.74,213.95,215.64,0.32,0.0,11985.7,119.94,1.73
6811,US,31713,1079,207.78,213.05,213.91,0.12,0.09,11986.2,119.95,1.73
6973,US,14061,1077,202.4,203.11,203.46,0.15,0.0,11706.0,117.14,1.73
6978,CO,16552,1077,210.69,212.65,213.5,0.19,0.0,12159.2,121.68,1.73
6989,US,16552,1077,207.39,213.62,215.37,0.26,0.0,11985.7,119.94,1.73
7416,CA,11358,1080,163.31,167.5,167.78,0.17,0.0,9452.5,94.59,1.73
7510,CR,273147,1079,218.84,223.71,228.02,4.5,0.0,12616.2,126.25,1.73
7585,US,395412,1077,208.19,214.27,215.89,0.11,0.0,12001.9,120.1,1.73
7730,DE,21336,1077,55.62,61.06,327.07,0.94,0.0,3210.0,32.12,1.73
6525,US,32,1070,201.56,209.84,214.21,0.28,0.28,11700.9,117.09,1.72
7256,US,13781,1074,180.1,183.13,188.82,1.69,0.0,10472.9,104.8,1.72
7650,SV,12127,1070,216.96,223.16,223.68,3.15,0.19,12606.7,126.15,1.72
7720,US,30058,1077,206.04,211.31,212.16,0.15,0.0,12002.1,120.1,1.72
7732,US,40916,1075,201.13,209.88,212.56,0.24,0.0,11692.2,117.0,1.72
6950,US,398447,1072,200.62,209.48,214.03,0.12,0.0,11692.3,117.0,1.71
7514,US,22611,1077,205.38,210.52,211.39,0.11,0.0,11986.0,119.94,1.71
7525,CR,263762,1077,216.78,221.96,222.93,0.19,0.0,12632.9,126.42,1.71
6408,US,36236,1074,202.59,203.93,210.32,3.42,0.0,11878.8,118.87,1.7
6875,US,1856,1077,154.22,158.44,159.37,0.2,0.0,9078.7,90.85,1.7
6924,CA,239,1076,161.05,162.41,164.59,0.39,0.0,9453.8,94.6,1.7
7360,US,23459,1022,203.52,211.99,212.59,0.38,0.0,11986.1,119.94,1.7
7368,US,396279,1075,168.6,173.17,175.07,0.56,0.09,9912.1,99.19,1.7
7549,US,397032,1066,189.22,197.23,230.39,6.45,0.19,11133.2,111.41,1.7
7657,US,23352,1080,170.54,170.77,170.93,0.17,0.0,10041.2,100.48,1.7
7709,EC,263238,1077,219.24,224.47,225.45,0.31,0.0,12883.3,128.92,1.7
7770,US,6939,1080,204.46,207.4,207.75,0.1,0.0,12002.1,120.1,1.7
6719,CA,16276,1077,152.2,156.36,157.24,0.23,0.0,9017.1,90.23,1.69
7105,US,267,1077,164.77,168.95,169.86,0.15,0.0,9759.0,97.66,1.69
7572,CA,401167,1077,162.04,166.28,167.86,0.47,0.0,9565.6,95.72,1.69
7579,US,396993,1077,191.54,195.75,196.65,0.15,0.0,11324.4,113.32,1.69
7719,US,19751,1074,172.8,176.96,177.83,0.16,0.0,10202.0,102.09,1.69
7199,US,12110,1074,184.34,186.86,187.61,0.13,0.0,10943.6,109.51,1.68
7242,BR,37468,1071,161.2,162.99,210.8,2.05,0.0,9580.9,95.88,1.68
7523,US,32281,1080,184.81,194.58,194.74,8.68,0.0,10968.6,109.76,1.68
7691,US,215129,1080,164.45,168.74,169.73,0.23,0.0,9759.0,97.66,1.68
6804,US,16409,1077,162.36,162.63,162.88,0.17,0.0,9720.7,97.27,1.67
6966,CA,14061,1077,158.12,158.88,159.39,0.23,0.0,9452.3,94.59,1.67
7379,US,396163,1077,189.23,191.09,191.26,0.74,0.0,11333.1,113.41,1.67
7395,US,401332,1077,167.21,169.42,175.31,4.83,0.0,10024.0,100.31,1.67
7607,SV,26617,1079,210.77,214.88,215.68,0.12,0.0,12609.0,126.18,1.67
7687,US,198990,1076,189.59,194.68,196.74,1.51,0.09,11325.8,113.34,1.67
6420,MX,42473,1074,211.23,216.58,217.85,1.54,0.0,12723.4,127.32,1.66
6590,US,199610,1074,182.6,182.89,183.11,0.19,0.0,10974.2,109.82,1.66
6925,US,917,1077,176.91,182.08,182.97,0.2,0.0,10620.5,106.28,1.66
7070,CA,4508,1077,158.18,162.37,163.24,0.14,0.0,9530.9,95.38,1.66
7159,US,53698,1080,197.67,199.49,202.33,0.37,0.0,11878.7,118.87,1.66
7224,US,54316,1077,155.33,159.64,160.56,0.23,0.0,9333.2,93.4,1.66
7436,US,54148,1075,176.51,181.7,183.74,0.23,0.09,10620.4,106.28,1.66
7641,CA,40470,1077,148.3,151.28,151.6,0.14,0.0,8984.7,89.91,1.65
6456,CA,20473,1077,154.89,159.03,159.88,0.14,0.0,9452.4,94.59,1.64
6783,US,199610,1074,153.97,156.86,157.78,0.29,0.0,9379.2,93.86,1.64
6860,CA,53356,1077,154.74,158.94,160.52,0.16,0.0,9441.1,94.48,1.64
6884,US,19969,1077,174.06,178.44,178.93,0.14,0.0,10623.6,106.31,1.64
7038,US,14907,1077,185.59,190.82,192.18,0.27,0.0,11312.7,113.21,1.64
7673,SV,264635,1068,206.42,222.23,223.63,4.03,0.56,12552.8,125.62,1.64
7741,US,19366,1076,189.15,189.42,194.3,1.1,0.0,11505.0,115.13,1.64
6379,US,36236,1077,164.15,165.21,167.21,0.22,0.0,10056.9,100.64,1.63
6835,US,30475,1075,179.74,182.7,184.8,0.16,0.09,10999.3,110.07,1.63
7682,CA,32018,1074,154.91,157.78,158.39,0.1,0.0,9472.5,94.79,1.63
6588,US,10886,1074,157.89,158.25,158.42,0.17,0.0,9713.4,97.2,1.62
7206,US,60841,1080,183.34,192.27,195.91,5.79,0.0,11324.6,113.32,1.62
7238,US,23428,1077,171.82,174.56,178.93,4.29,0.0,10620.3,106.28,1.62
7361,US,52210,1077,171.75,178.49,179.25,0.49,0.0,10620.6,106.28,1.62
7582,US,401332,1080,171.95,174.61,178.92,4.2,0.0,10620.4,106.28,1.62
6888,CA,835,1077,152.67,158.04,158.86,0.22,0.0,9453.2,94.6,1.61
7306,US,393577,1077,170.8,175.24,178.39,1.09,0.0,10620.4,106.28,1.61
7381,US,396163,1080,161.64,165.79,166.65,0.08,0.0,10042.3,100.49,1.61
7422,GT,273149,911,202.88,246.65,270.53,16.54,5.3,12616.5,126.25,1.61
7768,US,46733,1074,171.56,174.59,175.45,0.2,0.0,10620.2,106.28,1.61
6373,US,32097,1069,170.64,174.79,176.47,0.19,0.28,10624.2,106.32,1.6
7215,US,1003,1079,170.04,174.24,175.19,0.19,0.0,10620.5,106.28,1.6
7528,GT,271885,1077,202.57,204.62,206.39,0.13,0.0,12614.5,126.23,1.6
7706,US,30058,1077,161.16,161.82,162.74,0.13,0.0,10037.8,100.45,1.6
6597,US,20473,1074,159.3,166.08,166.51,0.19,0.0,10042.0,100.49,1.59
6990,US,16552,1077,174.89,180.03,181.65,0.15,0.0,10974.2,109.82,1.59
7334,US,394177,1080,159.81,170.03,170.36,4.94,0.0,10037.8,100.45,1.59
7466,US,42198,1077,155.61,158.56,159.02,0.11,0.0,9751.2,97.58,1.59
7298,MX,64112,1074,200.76,203.05,204.05,0.31,0.0,12666.0,126.75,1.58
7341,US,32270,1077,173.19,178.29,179.14,0.07,0.0,10974.3,109.82,1.58
6437,US,20473,1077,178.15,184.28,184.64,0.17,0.0,11325.0,113.33,1.57
6585,US,36236,1074,152.27,156.67,158.87,0.2,0.0,9720.4,97.27,1.57
7095,US,397031,1080,147.25,150.22,152.24,0.15,0.0,9397.3,94.04,1.57
7158,US,53698,1077,154.3,160.39,161.22,0.17,0.0,9830.4,98.37,1.57
7430,US,2637,1076,165.79,171.17,172.03,0.44,0.0,10568.1,105.75,1.57
7668,US,399728,1077,153.15,156.25,157.24,0.18,0.0,9721.5,97.28,1.57
7757,US,19684,1077,169.58,174.76,176.43,0.2,0.0,10799.8,108.07,1.57
6436,US,20473,1077,146.99,151.12,151.97,0.11,0.0,9420.0,94.27,1.56
6524,US,55002,1077,151.72,154.97,157.03,0.26,0.0,9720.6,97.27,1.56
6797,US,16276,1077,152.42,156.62,157.47,0.13,0.0,9754.6,97.61,1.56
