block,profile,arm,workload,bw,loss,rep,ttfb_ms,total_ms,bytes,objects
primary,P1,quic,W3,50,0,18,390.287,390.366,10240,1
primary,P1,quic,W3,50,0,6,245.801,245.903,10240,1
primary,P1,tcp-bbr,W3,50,0,29,274.592,294.658,10240,1
primary,P1,tcp-bbr,W3,50,0,12,266.529,312.643,10240,1
primary,P1,tcp-cubic,W3,50,0,28,256.814,256.881,10240,1
primary,P1,quic,W3,50,0,19,430.096,430.179,10240,1
primary,P1,tcp-bbr,W3,50,0,13,268.543,308.278,10240,1
primary,P1,tcp-bbr,W3,50,0,1,218.456,225.825,10240,1
primary,P1,tcp-cubic,W3,50,0,20,284.943,298.345,10240,1
primary,P1,tcp-cubic,W3,50,0,11,349.654,351.509,10240,1
primary,P1,quic,W3,50,0,44,981.389,981.477,10240,1
primary,P1,tcp-cubic,W3,50,0,42,305.813,324.829,10240,1
primary,P1,quic,W3,50,0,12,161.356,162.289,10240,1
primary,P2,tcp-cubic,W3,50,0,23,254.133,359.387,10240,1
primary,P2,quic,W3,50,0,43,215.153,215.248,10240,1
primary,P2,tcp-cubic,W3,50,0,17,264.861,343.931,10240,1
primary,P2,tcp-bbr,W3,50,0,49,274.119,355.252,10240,1
primary,P2,quic,W3,50,0,19,373.446,374.442,10240,1
primary,P2,tcp-bbr,W3,50,0,45,242.073,320.737,10240,1
primary,P2,tcp-cubic,W3,50,0,28,249.176,342.575,10240,1
primary,P2,quic,W3,50,0,48,278.599,280.822,10240,1
primary,P2,tcp-cubic,W3,50,0,40,321.011,361.424,10240,1
primary,P2,tcp-cubic,W3,50,0,1,259.901,352.508,10240,1
primary,P2,tcp-cubic,W3,50,0,13,241.789,317.957,10240,1
primary,P2,tcp-bbr,W3,50,0,16,255.37,346.922,10240,1
primary,P2,tcp-cubic,W3,50,0,38,272.483,369.89,10240,1
primary,P2,quic,W3,50,0,32,219.143,219.227,10240,1
primary,P2,tcp-bbr,W3,50,0,5,250.294,360.711,10240,1
primary,P2,quic,W3,50,0,24,347.239,347.323,10240,1
primary,P2,tcp-cubic,W3,50,0,8,397.82,439.162,10240,1
primary,P2,tcp-bbr,W3,50,0,48,364.792,463.085,10240,1
primary,P2,tcp-cubic,W3,50,0,36,248.893,317.202,10240,1
primary,P2,tcp-cubic,W3,50,0,19,335.224,425.961,10240,1
primary,P2,quic,W3,50,0,16,537.025,538.916,10240,1
primary,P2,tcp-bbr,W3,50,0,46,324.295,400.051,10240,1
primary,P2,quic,W3,50,0,26,430.234,430.326,10240,1
primary,P2,quic,W3,50,0,1,175.37,175.533,10240,1
primary,P2,tcp-cubic,W3,50,0,44,242.264,330.767,10240,1
primary,P2,tcp-bbr,W3,50,0,14,245.178,338.082,10240,1
primary,P2,quic,W3,50,0,0,150.517,150.617,10240,1
primary,P2,tcp-bbr,W3,50,0,38,319.781,359.749,10240,1
primary,P2,tcp-cubic,W3,50,0,39,323.111,495.655,10240,1
primary,P2,tcp-bbr,W3,50,0,36,294.377,382.739,10240,1
primary,P2,quic,W3,50,0,18,473.621,473.711,10240,1
primary,P2,quic,W3,50,0,12,193.481,193.577,10240,1
primary,P2,quic,W3,50,0,15,375.719,376.955,10240,1
primary,P2,tcp-cubic,W3,50,0,18,257.477,332.796,10240,1
primary,P2,tcp-bbr,W3,50,0,4,270.153,346.217,10240,1
primary,P2,tcp-bbr,W3,50,0,29,305.954,399.98,10240,1
primary,P2,quic,W3,50,0,20,514.182,514.266,10240,1
primary,P2,tcp-bbr,W3,50,0,13,244.855,309.423,10240,1
primary,P2,tcp-cubic,W3,50,0,12,249.833,336.391,10240,1
primary,P2,tcp-bbr,W3,50,0,23,263.691,348.084,10240,1
primary,P2,quic,W3,50,0,38,406.315,407.173,10240,1
primary,P2,quic,W3,50,0,45,190.274,192.209,10240,1
primary,P2,tcp-bbr,W3,50,0,17,335.665,392.707,10240,1
primary,P2,tcp-cubic,W3,50,0,4,259.682,341.537,10240,1
